Timestamp,ParticipantName,VisualCondition,BoxID,BallName,Stiffness,BlockGrabCount,TotalGrabCount,FirstGrabTimestamp,LastGrabTimestamp,Confidence
2025-08-06 13:13:54.959,M3,Vision,4,"BaseBall_1",0.5,1,44,2025-08-06 13:13:50.763,2025-08-06 13:13:50.763,5
2025-08-06 13:14:02.215,M3,Vision,3,"BouncyBall_2",0.3,1,45,2025-08-06 13:13:59.999,2025-08-06 13:13:59.999,5
2025-08-06 13:14:09.635,M3,Vision,1,"FeltBall_3",0,1,46,2025-08-06 13:14:07.478,2025-08-06 13:14:07.478,5
2025-08-06 13:14:17.169,M3,Vision,5,"StealBall_4",1,1,47,2025-08-06 13:14:14.402,2025-08-06 13:14:14.402,5
2025-08-06 13:14:24.921,M3,Vision,2,"SpongeBall_5",0.1,1,48,2025-08-06 13:14:21.746,2025-08-06 13:14:21.746,5
2025-08-06 13:14:37.340,M3,Vision,3,"BouncyBall_6",0.3,2,50,2025-08-06 13:14:29.729,2025-08-06 13:14:36.512,5
2025-08-06 13:14:45.428,M3,Vision,2,"SpongeBall_7",0.1,1,51,2025-08-06 13:14:41.149,2025-08-06 13:14:41.149,5
2025-08-06 13:14:52.726,M3,Vision,5,"StealBall_8",1,1,52,2025-08-06 13:12:10.905,2025-08-06 13:14:49.995,5
2025-08-06 13:15:02.792,M3,Vision,5,"StealBall_9",1,1,53,2025-08-06 13:14:58.916,2025-08-06 13:14:58.916,5
2025-08-06 13:15:09.168,M3,Vision,1,"FeltBall_10",0,1,54,2025-08-06 13:12:27.164,2025-08-06 13:15:07.145,5
2025-08-06 13:15:15.522,M3,Vision,1,"FeltBall_11",0,1,55,2025-08-06 13:12:36.521,2025-08-06 13:15:13.884,5
2025-08-06 13:15:22.893,M3,Vision,4,"BaseBall_12",0.5,1,56,2025-08-06 13:15:20.401,2025-08-06 13:15:20.401,5
2025-08-06 13:15:32.646,M3,Vision,5,"BaseBall_13",0.5,1,57,2025-08-06 13:12:53.635,2025-08-06 13:15:27.022,5
2025-08-06 13:15:41.770,M3,Vision,3,"BouncyBall_14",0.3,1,58,2025-08-06 13:15:38.075,2025-08-06 13:15:38.075,4
2025-08-06 13:15:50.247,M3,Vision,2,"SpongeBall_15",0.1,1,59,2025-08-06 13:15:47.197,2025-08-06 13:15:47.197,4
