Timestamp,PlayerName,VisualCondition,LoadCondition,ObjectName,Stiffness,BlockGrabCount,TotalGrabCount
2025-07-21 18:49:20.848,Player01,,,50,0.5,1,1
2025-07-21 18:49:33.864,Player01,,,50,0.5,2,2
2025-07-21 18:49:36.707,Player01,,,100,1,1,3
2025-07-21 18:49:50.074,Player01,Base,Low,30-1,0.3,1,4
2025-07-21 18:49:53.799,Player01,Base,Low,0-2,0,1,5
2025-07-21 18:49:57.278,Player01,Base,Low,50-3,0.5,1,6
2025-07-21 18:50:01.806,Player01,Base,Low,100-4,1,1,7
2025-07-21 18:50:05.732,Player01,Base,Low,50-5,0.5,1,8
2025-07-21 18:50:09.531,Player01,Base,Low,10-7,0.1,1,9
2025-07-21 18:50:12.565,Player01,Base,Low,10-8,0.1,1,10
2025-07-21 18:50:15.587,Player01,Base,Low,0-9,0,1,11
2025-07-21 18:50:18.734,Player01,Base,Low,100-11,1,1,12
2025-07-21 18:50:21.380,Player01,Base,Low,0-12,0,1,13
2025-07-21 18:50:25.946,Player01,Base,Low,30-13,0.3,1,14
2025-07-21 18:50:29.107,Player01,Base,Low,100-15,1,1,15
2025-07-21 18:50:31.248,Player01,Base,Low,50-16,0.5,1,16
2025-07-21 18:50:33.436,Player01,Base,Low,100-17,1,1,17
2025-07-21 18:50:37.557,Player01,Base,Low,100-18,1,1,18
2025-07-21 18:50:40.403,Player01,Base,Low,50-19,0.5,1,19
2025-07-21 18:50:45.379,Player01,Base,Low,50-20,0.5,1,20
2025-07-21 18:50:49.486,Player01,Base,Low,10-21,0.1,1,21
2025-07-21 18:50:51.672,Player01,Base,Low,30-22,0.3,1,22
