Timestamp,PlayerName,VisualCondition,LoadCondition,ObjectName,BlockGrabCount,TotalGrabCount,Stiffness
2025-07-21 14:53:58.206,Player01,,,50,1,1,0.5
2025-07-21 14:54:04.305,Player01,,,30,1,2,0.3
2025-07-21 14:54:06.948,Player01,,,10,1,3,0.1
2025-07-21 14:54:14.076,Player01,,,0,1,4,0
2025-07-21 14:54:16.957,Player01,,,100,1,5,1
2025-07-21 14:54:26.566,Player01,Base,Low,100(Clone),1,6,1
2025-07-21 14:54:31.870,Player01,Base,Low,50(Clone),1,7,0.5
2025-07-21 14:54:38.510,Player01,Base,Low,30(Clone),1,8,0.3
2025-07-21 14:54:45.850,Player01,Base,Low,10(Clone),1,9,0.1
2025-07-21 14:54:52.783,Player01,Base,Low,100(Clone),2,10,1
2025-07-21 14:54:56.608,Player01,Base,Low,30(Clone),2,11,0.3
2025-07-21 14:55:08.987,Player01,Base,Low,30(Clone),3,12,0.3
2025-07-21 14:55:13.583,Player01,Base,Low,100(Clone),3,13,1
2025-07-21 14:55:18.789,Player01,Base,Low,50(Clone),2,14,0.5
2025-07-21 14:55:29.763,Player01,Base,Low,10(Clone),2,15,0.1
2025-07-21 14:55:34.122,Player01,Base,Low,10(Clone),3,16,0.1
2025-07-21 14:55:41.485,Player01,Base,Low,30(Clone),4,17,0.3
2025-07-21 14:55:45.968,Player01,Base,Low,50(Clone),3,18,0.5
2025-07-21 14:55:51.595,Player01,Base,Low,0(Clone),1,19,0
2025-07-21 14:55:56.536,Player01,Base,Low,100(Clone),4,20,1
2025-07-21 14:56:00.991,Player01,Base,Low,0(Clone),2,21,0
